id,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,dateDebut,dateFin
15,0,0,1,0,1,0,0,20130515,20130529
13,0,1,1,0,1,0,0,20130531,20131004
14,1,1,1,1,1,0,1,20130519,20130526
11,0,0,1,0,0,0,0,20130515,20130529
12,1,0,0,0,0,1,1,20130602,20131006
3,1,0,0,0,0,0,1,20130602,20131006
2,1,1,1,1,1,1,0,20130708,20130824
10,0,0,1,0,0,1,0,20130605,20131002
1,1,1,1,1,1,0,0,20130513,20130529
7,1,1,1,1,1,1,1,20130708,20130824
6,0,0,0,0,0,0,0,20130530,20131004
5,0,0,0,0,0,0,1,20130714,20130825
4,0,0,0,0,0,1,0,20130601,20131005
9,1,1,0,1,1,0,0,20130513,20130528
8,0,0,0,0,1,0,0,20130531,20131004
