arretId,correspondanceId,distance
20245,20247,188
20245,20241,189
20245,20243,68
20245,20242,127
20245,21202,0
20245,21203,0
20244,20246,27
20244,21163,27
20439,20438,66
20439,20658,171
20247,20245,188
20247,21202,188
20247,21203,188
20041,20040,65
20246,20244,27
20246,21163,0
20040,20041,65
20241,20245,189
20241,20242,70
20241,21202,189
20241,21203,189
20436,20437,20
20436,21080,192
20240,20239,30
20240,20238,169
20240,20103,181
20240,21245,181
20435,20432,170
20435,20434,14
20435,20662,170
20438,20439,66
20438,20658,112
20438,20659,177
20243,20245,68
20243,20242,187
20243,21202,68
20243,21203,68
20437,20436,20
20437,21080,183
20242,20245,127
20242,20241,70
20242,20243,187
20242,21202,127
20242,21203,127
20909,20908,36
20432,20435,170
20432,20434,164
20432,20433,33
20432,20662,31
20432,20663,78
20431,20430,10
20434,20435,14
20434,20432,164
20434,20433,194
20434,20662,161
20434,20663,191
20433,20432,33
20433,20434,194
20433,20662,40
20433,20663,66
20905,20904,0
20249,20248,77
20249,20276,168
20249,20274,194
20249,20329,140
20249,20328,194
20248,20249,77
20248,20277,164
20248,20276,121
20248,20329,64
20430,20431,10
20908,20909,36
20913,20912,17
20912,20913,17
20630,20686,183
20630,20629,170
20915,20914,21
20915,20916,188
20915,20917,196
20914,20915,21
20911,20910,18
20910,20911,18
20637,20636,146
20637,20178,199
20046,20047,65
20047,20046,65
20047,20044,178
20047,20045,161
20048,20049,19
20048,20236,170
20048,20221,170
20048,20222,131
20639,21156,0
20639,21155,59
20639,21154,176
20049,20048,19
20049,20236,185
20049,20221,154
20049,20222,117
20633,20167,40
20042,20043,63
20042,20213,184
20042,20214,199
20043,20042,63
20043,20044,182
20043,20045,198
20043,20213,136
20043,20214,145
20634,20635,93
20635,20634,93
20044,20047,178
20044,20043,182
20044,20045,19
20044,20228,188
20044,20227,197
20045,20047,161
20045,20043,198
20045,20044,19
20045,20228,180
20045,20227,189
20636,20637,146
20636,20182,194
20636,20178,113
20636,21161,127
20030,20031,29
20236,20048,170
20236,20049,185
20236,20235,45
20235,20236,45
20449,20448,89
20449,20459,188
20449,20451,160
20232,20231,42
20448,20449,89
20231,20232,42
20445,20450,190
20442,20660,154
20442,20661,87
20441,20440,13
20918,20919,25
20918,20925,90
20918,20921,136
20918,20920,147
20440,20441,13
20919,20918,25
20919,20925,68
20919,20924,195
20919,20921,111
20919,20920,123
20239,20240,30
20239,20238,182
20239,20103,198
20239,21245,198
20916,20915,188
20916,20917,12
20238,20240,169
20238,20239,182
20238,20103,30
20238,21245,30
20917,20915,196
20917,20916,12
20926,21028,162
20642,20643,150
20925,20918,90
20925,20919,68
20925,20924,132
20925,20921,70
20925,20920,83
20643,20642,150
20924,20919,195
20924,20925,132
20924,20921,158
20924,20920,165
20923,20922,22
20641,21157,104
20922,20923,22
20921,20918,136
20921,20919,111
20921,20925,70
20921,20924,158
20921,20920,13
20039,20038,112
20039,20036,154
20039,20614,159
20920,20918,147
20920,20919,123
20920,20925,83
20920,20924,165
20920,20921,13
20037,20035,187
20037,20034,107
20037,20545,163
20038,20039,112
20038,20614,102
20035,20037,187
20035,20034,83
20035,20032,163
20649,20647,198
20649,20420,146
20649,20421,137
20036,20039,154
20036,20545,168
20033,20032,175
20033,20287,188
20646,20647,19
20646,20420,140
20034,20037,107
20034,20035,83
20647,20649,198
20647,20646,19
20647,20420,149
20031,20030,29
20644,20645,33
20644,20667,193
20645,20644,33
20032,20035,163
20032,20033,175
20263,20262,86
20263,20264,88
20263,20278,155
20263,20704,194
20263,20705,194
20263,20707,99
20458,21077,45
20458,20380,140
20262,20263,86
20262,20264,78
20262,20707,15
20265,20266,127
20265,20250,117
20459,20449,188
20459,20106,26
20264,20263,88
20264,20262,78
20264,20704,162
20264,20705,174
20264,20707,77
20267,20266,186
20267,20268,36
20061,20025,99
20061,20013,157
20061,20752,143
20266,20265,127
20266,20267,186
20269,20268,174
20269,20270,111
20063,20064,29
20063,20854,188
20268,20267,36
20268,20269,174
20450,20445,190
20450,20451,108
20452,20453,17
20452,20098,181
20452,20097,166
20451,20449,160
20451,20450,108
20453,20452,17
20453,20098,191
20453,20097,178
20931,20932,18
20933,20934,13
20932,20931,18
20934,20933,13
20652,20653,111
20937,20936,13
20653,20652,111
20936,20937,13
20654,20655,72
20064,20063,29
20655,20654,72
